Iterations,Cost
0,22.279215710437118
1,22.58791486255951
2,22.362184223490125
3,22.081278787962464
4,21.583705747800686
5,21.579225187228307
6,21.61163126284193
7,21.538898983500122
8,20.394623971123732
9,20.309185745210105
10,20.32262944080894
11,20.115456384936458
12,20.082999090869336
13,19.996717186722897
14,19.883742836874283
15,19.615922038428938
16,19.670648845969303
17,19.72607305163425
18,19.345127518937748
19,19.23179287792968
20,19.001908392645365
21,19.010167812763736
22,19.002215616181683
23,18.891283345767427
24,18.92623696632528
25,19.145541189314706
26,19.208066846547577
27,19.412815233685926
28,19.369096501214248
29,19.053747103839175
30,18.978151185782856
31,19.22314879041851
32,19.26230611804315
33,19.26967585243048
34,19.144018657804537
35,19.16898320468215
36,19.087601766300335
37,19.08878487342328
38,19.087565462560857
39,19.111875697975474
40,19.081014243921203
41,19.073382047310385
42,19.031507413268418
43,18.986722681844995
44,18.332485093223188
45,18.403442677461925
46,18.277244559274827
47,18.221818486186717
48,18.2930448830573
49,18.206732921689035
50,18.225997499544956
51,18.18145661071041
52,18.10509415565752
53,18.05278765450509
54,18.123210150882556
55,18.07122210093026
56,18.059716691468598
57,18.030848347223756
58,17.77866622284379
59,17.677061341238343
60,17.89530130661909
61,17.837601753905854
62,17.81311865739851
63,17.684382954849344
64,17.634792109715647
65,17.68305028299039
66,17.791659375461325
67,17.843953473231725
68,18.046131455813786
69,17.98539008395426
70,18.183528614917623
71,18.236245164253496
72,18.233828283745854
73,18.137683697301416
74,18.245224024038098
75,18.65624189273807
76,18.743658926693872
77,18.737608576430198
78,18.73834696943366
79,18.700554503159104
80,18.888419598738295
81,18.88887376597065
82,19.595415523267672
83,19.013447215874375
84,18.930637161883872
85,18.857712846140476
86,18.874480812917447
87,18.966725081398575
88,18.983328500771638
89,18.559987154223887
90,17.84195929889384
91,17.83414859339541
92,18.34190441157115
93,18.3208465985319
94,18.331865429319098
95,18.714064968412547
96,18.24506948787766
97,17.661632157232518
98,17.53840581253274
99,17.51887306890888
100,17.47039664055713
101,17.424500740176494
102,17.41356841472295
103,17.375866967630213
104,17.343947828371043
105,17.330994438935466
106,17.377562797415628
107,17.377923590030015
108,17.363706819665182
109,17.355724507656603
110,17.377505159591095
111,17.592723508371677
112,17.58065126916057
113,17.66952172678649
114,17.50823384771737
115,17.74175366256207
116,17.756011068799765
117,17.77492259450057
118,17.689530167077397
119,17.607502127490342
120,17.587291683654346
121,17.72442099362199
122,17.71525786576736
123,17.69909045117763
124,17.770222542239303
125,17.80999959931209
126,17.77227647445806
127,17.691617186170085
128,17.773328916385367
129,17.666893984809477
130,17.668765839252043
131,17.692608622545904
132,17.15596407785193
133,17.181312383676563
134,17.205920373171857
135,17.622576002099546
136,17.65850975425494
137,17.623137500926607
138,17.536170365138013
139,17.4894206025974
140,17.538900276741455
141,17.556493201735446
142,17.65059241037421
143,17.59544086654968
144,17.452023109733837
145,17.016307483577492
146,16.99459936847161
147,16.872453876100213
148,16.943512121030892
149,16.817637778545766
150,16.859209408488557
151,17.15203103297797
152,17.505275648109546
153,17.864842057738386
154,17.777730127045853
155,17.117165620454717
156,17.095848964663144
157,17.108918865557747
158,16.242461316122927
159,15.946495727823645
160,15.961396995587203
161,15.926153876766902
162,15.9496250668406
163,15.911177087859999
164,15.981412550640526
165,15.942909464642623
166,15.834842548703067
167,15.875374900115371
168,15.83864133228788
169,15.833613997986346
170,15.79950987949518
171,15.847653201444881
172,15.853321584625006
173,15.798406899315255
