Iterations,Cost
0,18.67775119278676
1,17.44205163542498
2,16.729102904507624
3,16.282463305138062
4,15.991491353903823
5,15.798244109566538
6,15.66854202467113
7,15.580903282053988
8,15.521384962540784
9,15.480781212035527
10,15.452952781982544
11,15.433778963682176
12,15.420481387244456
13,15.411180519033344
14,15.404601681128222
15,15.399878734709283
16,15.3964222646605
17,15.39383070521833
18,15.391830225857523
19,15.39023396922722
20,15.38891435770333
21,15.387784250231856
22,15.38678410598103
23,15.38587323193235
24,15.385023810824208
25,15.384216823955288
26,15.383439266427871
27,15.382682244497413
28,15.381939675270184
29,15.381207397874544
30,15.380482565801241
31,15.379763231417584
32,15.379048061852913
33,15.378336144703018
34,15.377626855150806
35,15.376919765085637
36,15.376214580944804
37,15.37551110119863
38,15.374809187270625
39,15.374108743646891
40,15.373409704270673
41,15.372712023236065
42,15.37201566842227
43,15.37132061713924
44,15.370626853149219
45,15.369934364629314
46,15.369243142777885
47,15.368553180861218
48,15.367864473561424
49,15.367177016530412
50,15.366490806084716
51,15.365805838996815
52,15.365122112352328
53,15.364439623452375
54,15.363758369746748
55,15.36307834878821
56,15.36239955820124
57,15.361721995660643
58,15.361045658876902
59,15.360370545586187
60,15.359696653543482
61,15.359023980517923
62,15.358352524289568
63,15.3576822826472
64,15.357013253386834
65,15.356345434310676
66,15.355678823226423
67,15.355013417946749
68,15.354349216289021
69,15.353686216075014
70,15.353024415130774
71,15.352363811286521
72,15.351704402376546
73,15.35104618623916
74,15.350389160716654
75,15.349733323655283
76,15.349078672905227
77,15.348425206320574
78,15.347772921759304
79,15.347121817083298
80,15.346471890158307
81,15.34582313885394
82,15.345175561043664
83,15.3445291546048
84,15.343883917418514
85,15.343239847369803
86,15.34259694234748
87,15.341955200244183
88,15.341314618956373
89,15.340675196384305
90,15.340036930432033
91,15.339399819007406
92,15.338763860022059
93,15.3381290513914
94,15.337495391034604
95,15.336862876874621
96,15.33623150683815
97,15.335601278855643
98,15.334972190861302
99,15.334344240793047
100,15.333717426592548
101,15.333091746205183
102,15.332467197580067
103,15.331843778669995
104,15.33122148743149
105,15.330600321824766
106,15.329980279813718
107,15.329361359365924
108,15.32874355845266
109,15.328126875048842
110,15.327511307133065
111,15.326896852687582
112,15.326283509698285
113,15.325671276154727
114,15.325060150050074
115,15.324450129381148
116,15.323841212148366
117,15.32323339635579
118,15.322626680011076
119,15.322021061125477
120,15.321416537713867
121,15.320813107794695
122,15.320210769389991
123,15.31960952052537
124,15.31900935923002
125,15.318410283536693
126,15.317812291481692
127,15.31721538110488
128,15.316619550449662
129,15.316024797562976
130,15.315431120495317
131,15.314838517300677
132,15.31424698603658
133,15.31365652476407
134,15.313067131547681
135,15.31247880445548
136,15.311891541558989
137,15.311305340933242
138,15.310720200656755
139,15.310136118811508
140,15.309553093482956
141,15.30897112276003
142,15.308390204735096
143,15.307810337503982
144,15.307231519165963
145,15.306653747823747
146,15.306077021583473
147,15.305501338554706
148,15.30492669685044
149,15.304353094587066
150,15.303780529884397
151,15.303209000865637
152,15.302638505657397
153,15.302069042389652
154,15.301500609195795
155,15.300933204212562
156,15.300366825580081
157,15.299801471441839
158,15.29923713994467
159,15.298673829238778
160,15.298111537477698
161,15.297550262818314
162,15.296990003420845
163,15.296430757448825
164,15.295872523069127
165,15.29531529845193
166,15.294759081770723
167,15.294203871202297
168,15.293649664926756
169,15.29309646112747
170,15.292544257991125
171,15.291993053707653
172,15.291442846470293
173,15.290893634475538
174,15.290345415923131
175,15.289798189016093
176,15.289251951960683
177,15.288706702966406
178,15.288162440246012
179,15.287619162015474
180,15.287076866493999
181,15.286535551904013
182,15.28599521647116
183,15.285455858424289
184,15.284917475995456
185,15.28438006741991
186,15.283843630936104
187,15.283308164785659
188,15.282773667213396
189,15.282240136467301
190,15.28170757079852
191,15.281175968461387
192,15.280645327713364
193,15.280115646815096
194,15.279586924030351
195,15.279059157626042
196,15.27853234587222
197,15.278006487042072
198,15.277481579411896
199,15.276957621261113
200,15.276434610872261
201,15.275912546530977
202,15.275391426526001
203,15.274871249149172
204,15.274352012695422
205,15.273833715462752
206,15.273316355752257
207,15.2727999318681
208,15.272284442117511
209,15.271769884810778
210,15.271256258261257
211,15.270743560785336
212,15.270231790702475
213,15.269720946335143
214,15.269211026008875
215,15.268702028052202
216,15.26819395079671
217,15.26768679257698
218,15.267180551730613
219,15.266675226598222
220,15.266170815523417
221,15.265667316852802
222,15.265164728935982
223,15.264663050125527
224,15.26416227877701
225,15.263662413248964
226,15.26316345190289
227,15.26266539310327
228,15.26216823521752
229,15.261671976616034
230,15.26117661567213
231,15.260682150762083
232,15.260188580265105
233,15.259695902563335
234,15.259204116041841
235,15.258713219088603
236,15.258223210094544
237,15.257734087453462
238,15.257245849562077
239,15.256758494820017
240,15.256272021629794
241,15.25578642839681
242,15.255301713529354
243,15.254817875438604
244,15.254334912538587
245,15.253852823246229
246,15.25337160598129
247,15.252891259166415
248,15.252411781227082
249,15.251933170591625
250,15.251455425691226
251,15.250978544959898
252,15.250502526834486
253,15.250027369754669
254,15.249553072162943
255,15.249079632504616
256,15.248607049227825
257,15.248135320783499
258,15.247664445625375
259,15.247194422209983
260,15.246725248996649
261,15.246256924447488
262,15.245789447027388
263,15.245322815204025
264,15.244857027447841
265,15.24439208223204
266,15.24392797803259
267,15.243464713328228
268,15.243002286600422
269,15.242540696333407
270,15.242079941014147
271,15.241620019132341
272,15.24116092918044
273,15.24070266965359
274,15.240245239049688
275,15.239788635869331
276,15.239332858615839
277,15.238877905795222
278,15.238423775916216
279,15.23797046749024
280,15.237517979031407
281,15.23706630905652
282,15.23661545608506
283,15.236165418639192
284,15.235716195243755
285,15.235267784426254
286,15.234820184716849
287,15.234373394648383
288,15.233927412756318
289,15.233482237578789
290,15.233037867656583
291,15.232594301533096
292,15.23215153775439
293,15.23170957486913
294,15.231268411428633
295,15.230828045986815
296,15.230388477100218
297,15.229949703327993
298,15.22951172323189
299,15.22907453537628
300,15.22863813832811
301,15.228202530656935
302,15.227767710934879
303,15.227333677736667
304,15.226900429639596
305,15.226467965223529
306,15.226036283070915
307,15.22560538176675
308,15.225175259898592
309,15.22474591605656
310,15.224317348833328
311,15.223889556824103
312,15.22346253862664
313,15.223036292841224
314,15.222610818070688
315,15.222186112920372
316,15.221762175998151
317,15.221339005914416
318,15.220916601282072
319,15.22049496071653
320,15.220074082835708
321,15.219653966260022
322,15.21923460961239
323,15.218816011518209
324,15.218398170605372
325,15.217981085504256
326,15.217564754847702
327,15.217149177271034
328,15.216734351412054
329,15.216320275911006
330,15.215906949410602
331,15.215494370556025
332,15.215082537994881
333,15.214671450377251
334,15.214261106355632
335,15.213851504584976
336,15.213442643722662
337,15.213034522428492
338,15.212627139364708
339,15.212220493195955
340,15.211814582589296
341,15.211409406214216
342,15.2110049627426
343,15.21060125084873
344,15.210198269209297
