Iteration,Training Error (%),Testing Error (%)
259,5.58,11.64
260,5.46,11.540000000000001
261,5.54,11.62
262,5.5,11.52
263,5.56,11.64
264,5.48,11.62
265,5.54,11.62
266,5.5,11.58
267,5.52,11.58
268,5.48,11.5
269,5.56,11.559999999999999
270,5.52,11.5
271,5.58,11.559999999999999
272,5.54,11.540000000000001
273,5.58,11.58
274,5.5,11.52
275,5.54,11.600000000000001
276,5.52,11.52
277,5.52,11.58
278,5.48,11.48
279,5.52,11.559999999999999
280,5.4399999999999995,11.5
281,5.56,11.52
282,5.48,11.5
283,5.54,11.5
284,5.52,11.5
285,5.54,11.52
286,5.52,11.5
287,5.54,11.52
288,5.52,11.48
289,5.58,11.48
290,5.5,11.48
291,5.58,11.5
292,5.5,11.48
293,5.54,11.559999999999999
294,5.48,11.5
295,5.56,11.559999999999999
296,5.46,11.42
297,5.5,11.48
298,5.48,11.44
299,5.52,11.459999999999999
300,5.48,11.44
301,5.5,11.52
302,5.5,11.42
303,5.5,11.48
304,5.5,11.42
305,5.54,11.44
306,5.48,11.44
307,5.5,11.44
308,5.4399999999999995,11.44
309,5.5,11.459999999999999
310,5.4399999999999995,11.44
311,5.48,11.48
312,5.4,11.48
313,5.48,11.48
314,5.38,11.48
315,5.4399999999999995,11.5
316,5.4,11.48
317,5.56,11.48
318,5.4399999999999995,11.459999999999999
319,5.48,11.5
320,5.46,11.459999999999999
321,5.52,11.5
322,5.42,11.44
323,5.5,11.44
324,5.4399999999999995,11.4
325,5.4399999999999995,11.459999999999999
326,5.42,11.4
327,5.46,11.4
328,5.4399999999999995,11.4
329,5.4399999999999995,11.4
330,5.42,11.4
331,5.4399999999999995,11.42
332,5.42,11.42
333,5.42,11.44
334,5.4,11.44
335,5.4399999999999995,11.44
336,5.4399999999999995,11.44
337,5.48,11.44
338,5.46,11.44
339,5.48,11.459999999999999
340,5.4399999999999995,11.44
341,5.4399999999999995,11.459999999999999
342,5.4399999999999995,11.44
343,5.48,11.44
344,5.48,11.42
345,5.48,11.42
346,5.4399999999999995,11.42
347,5.46,11.459999999999999
348,5.42,11.44
349,5.48,11.459999999999999
350,5.4399999999999995,11.44
351,5.46,11.44
352,5.42,11.44
353,5.46,11.48
354,5.42,11.48
355,5.48,11.48
356,5.46,11.44
357,5.48,11.48
358,5.48,11.48
359,5.5,11.48
360,5.42,11.459999999999999
361,5.54,11.459999999999999
362,5.4399999999999995,11.44
363,5.48,11.459999999999999
364,5.46,11.42
365,5.52,11.44
366,5.52,11.42
367,5.54,11.44
368,5.52,11.4
369,5.52,11.42
370,5.48,11.42
371,5.48,11.42
372,5.48,11.42
373,5.48,11.459999999999999
374,5.48,11.42
375,5.5,11.42
376,5.48,11.42
377,5.48,11.5
378,5.46,11.44
379,5.48,11.44
380,5.46,11.44
381,5.48,11.44
382,5.4399999999999995,11.44
383,5.5,11.44
384,5.46,11.42
385,5.54,11.5
386,5.52,11.42
387,5.54,11.459999999999999
388,5.5,11.42
389,5.5,11.48
390,5.46,11.42
391,5.46,11.459999999999999
392,5.46,11.44
393,5.5,11.48
394,5.4,11.44
395,5.48,11.48
396,5.42,11.459999999999999
397,5.46,11.459999999999999
398,5.42,11.459999999999999
399,5.48,11.5
400,5.4,11.44
401,5.5,11.5
402,5.36,11.459999999999999
403,5.46,11.48
404,5.38,11.459999999999999
405,5.42,11.48
406,5.4,11.44
407,5.4399999999999995,11.52
408,5.38,11.48
409,5.46,11.5
410,5.42,11.48
411,5.48,11.52
412,5.46,11.42
413,5.48,11.52
414,5.4399999999999995,11.459999999999999
415,5.46,11.52
416,5.42,11.48
417,5.46,11.540000000000001
418,5.4399999999999995,11.48
419,5.48,11.540000000000001
420,5.42,11.48
421,5.48,11.48
422,5.42,11.459999999999999
423,5.5,11.459999999999999
424,5.4399999999999995,11.44
425,5.46,11.459999999999999
426,5.4,11.42
427,5.48,11.44
428,5.4399999999999995,11.42
429,5.46,11.48
430,5.42,11.459999999999999
431,5.46,11.48
432,5.4,11.459999999999999
433,5.5,11.5
434,5.4399999999999995,11.44
435,5.4399999999999995,11.48
436,5.4399999999999995,11.44
437,5.4399999999999995,11.48
438,5.4399999999999995,11.48
439,5.4399999999999995,11.48
440,5.4,11.48
441,5.46,11.48
442,5.42,11.48
443,5.4399999999999995,11.48
444,5.4399999999999995,11.459999999999999
445,5.46,11.48
446,5.4399999999999995,11.459999999999999
447,5.48,11.48
448,5.42,11.459999999999999
449,5.5,11.5
450,5.46,11.48
451,5.48,11.5
452,5.46,11.459999999999999
453,5.46,11.48
454,5.46,11.44
455,5.46,11.48
456,5.4399999999999995,11.459999999999999
457,5.4399999999999995,11.48
458,5.4399999999999995,11.48
459,5.46,11.48
460,5.42,11.48
461,5.46,11.48
462,5.42,11.459999999999999
463,5.48,11.459999999999999
464,5.46,11.42
465,5.5,11.459999999999999
466,5.48,11.42
467,5.52,11.459999999999999
468,5.48,11.42
469,5.5,11.459999999999999
470,5.5,11.379999999999999
471,5.5,11.379999999999999
472,5.5,11.379999999999999
473,5.5,11.42
474,5.5,11.34
475,5.54,11.42
476,5.5,11.3
477,5.52,11.379999999999999
478,5.5,11.360000000000001
479,5.54,11.360000000000001
480,5.52,11.32
481,5.56,11.34
482,5.54,11.32
483,5.58,11.34
484,5.54,11.3
485,5.58,11.3
486,5.56,11.28
487,5.58,11.32
488,5.54,11.26
489,5.58,11.34
490,5.56,11.26
491,5.58,11.34
492,5.56,11.28
493,5.6000000000000005,11.360000000000001
494,5.52,11.3
495,5.6000000000000005,11.34
496,5.5,11.32
497,5.54,11.34
498,5.52,11.32
499,5.56,11.360000000000001
